reasons,counts
έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,13
αναρτά ενδιαφέρον περιεχόμενο,12
έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,4
θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,4
θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,3
έχει ωραίο σώμα;έχει ωραίο lifestyle,1
θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,1
"αναρτά ενδιαφέρον περιεχόμενο;she is a dancer and as I love dancing, I adore her choreos",1
έχει ωραίο σώμα,1
"Για να βλέπω τη γυμναστική μέσα απο διαφορετικό τρόπο και όχι από καλογυμνασμένα ""τέλεια"" σώματα",1
