Reason,Counter
θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του,82
αναρτά ενδιαφέρον περιεχόμενο,51
έχει ωραίο σώμα,24
έχει ωραίο lifestyle,23
θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο,21
έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,17
έχει ωραίο σώμα;έχει ωραίο lifestyle,11
θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα,10
θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,10
έχει ωραίο σώμα;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,10
θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;έχει ωραίο lifestyle,6
έχει ωραίο σώμα;αναρτά ενδιαφέρον περιεχόμενο,4
θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο lifestyle,3
θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο σώμα;αναρτά ενδιαφέρον περιεχόμενο,3
Έχει δυνατά βιώματα.,1
Gives good advices,1
Profesional Researcher in the field of fitness,1
"αναρτά ενδιαφέρον περιεχόμενο;she is a dancer and as I love dancing, I adore her choreos",1
θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο,1
"Για να βλέπω τη γυμναστική μέσα απο διαφορετικό τρόπο και όχι από καλογυμνασμένα ""τέλεια"" σώματα",1
έχει ωραίο σώμα;Με ανεβάζει,1
θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;αναρτά ενδιαφέρον περιεχόμενο;έχει ωραια vibes,1
όλα τα παραπάνω,1
θέλω να ενημερώνομαι και να ακολουθώ το πρόγραμμα γυμναστικής / συμβουλές του;έχει ωραίο lifestyle;αναρτά ενδιαφέρον περιεχόμενο;εχει τελειο σκυλο!,1
